trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",20,0,-32.16430037710496,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.001, 'e': 0.9999995000000417}",20,0,-120.48811668643252,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.001, 'e': 0.9999980000006666}",20,12,-3.987636800316886,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.001, 'e': 0.999995500003375}",20,0,-68.79166296119976,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.001, 'e': 0.9999920000106667}",20,0,-95.50797974173223,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",1
6,False,"{'a': 0.001, 'e': 0.9999875000260416}",25,0,-123.21938445001858,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.001, 'e': 0.999982000054}",20,0,-47.37753848492473,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.001, 'e': 0.9999755001000415}",25,0,-62.74809144951598,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.001, 'e': 0.9999680001706663}",25,0,-337.2037507120876,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 7}",0
10,False,"{'a': 0.001, 'e': 0.9999595002733742}",20,0,-85.31988121961321,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 0}",0
11,False,"{'a': 0.001, 'e': 0.9999500004166653}",25,0,-102.45265163299226,"{0: 16, 1: 6, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.001, 'e': 0.9999395006100392}",25,0,-65.08957378581786,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.001, 'e': 0.9999280008639958}",20,0,-66.76383216787647,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.001, 'e': 0.9999155011900349}",25,3,-114.13744360499899,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 1}",1
15,False,"{'a': 0.001, 'e': 0.9999020016006562}",35,0,-159.6326024892089,"{0: 20, 1: 5, 2: 6, 3: 3, 4: 1}",0
16,False,"{'a': 0.001, 'e': 0.9998875021093592}",20,0,-8.897290442957267,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.001, 'e': 0.9998720027306434}",20,7,17.593433439775154,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.001, 'e': 0.9998555034800082}",20,15,11.363899085215495,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.001, 'e': 0.9998380043739528}",25,0,-71.58836569931461,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.001, 'e': 0.9998195054299763}",30,0,-76.89573752132186,"{0: 17, 1: 6, 2: 7, 3: 0, 4: 0}",0
21,False,"{'a': 0.001, 'e': 0.9998000066665778}",35,0,-176.516875278873,"{0: 23, 1: 3, 2: 5, 3: 1, 4: 3}",0
22,False,"{'a': 0.001, 'e': 0.9997795081032559}",30,0,-156.01113245545136,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
23,False,"{'a': 0.001, 'e': 0.9997580097605092}",25,0,-56.78067893705707,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.001, 'e': 0.9997355116598361}",20,15,8.09363430041312,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.001, 'e': 0.9997120138237345}",30,22,-39.30595822481995,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 0.001, 'e': 0.9996875162757026}",30,10,-162.77805524216598,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",1
27,False,"{'a': 0.001, 'e': 0.9996620190402377}",25,12,-16.527735788976436,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.001, 'e': 0.9996355221428369}",35,0,-254.62419236490774,"{0: 19, 1: 3, 2: 8, 3: 1, 4: 4}",0
29,False,"{'a': 0.001, 'e': 0.9996080256099974}",25,0,-153.4426506996969,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
30,False,"{'a': 0.001, 'e': 0.9995795294692156}",30,0,-132.673727124617,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
31,False,"{'a': 0.001, 'e': 0.9995500337489875}",30,0,-176.924386159241,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
32,False,"{'a': 0.001, 'e': 0.999519538478809}",25,0,-37.077822212039784,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
33,False,"{'a': 0.001, 'e': 0.9994880436891754}",20,0,-112.68195990393515,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
34,False,"{'a': 0.001, 'e': 0.9994555494115813}",30,0,-60.755811569167875,"{0: 19, 1: 7, 2: 3, 3: 1, 4: 0}",0
35,False,"{'a': 0.001, 'e': 0.9994220556785212}",20,0,-27.367943833141485,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
36,False,"{'a': 0.001, 'e': 0.9993875625234886}",25,0,-112.4456321250426,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
37,False,"{'a': 0.001, 'e': 0.9993520699809768}",30,0,-154.9219069253266,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
38,False,"{'a': 0.001, 'e': 0.9993155780864782}",25,11,8.312992127788705,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.001, 'e': 0.9992780868764849}",20,0,-102.44489953482635,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
40,False,"{'a': 0.001, 'e': 0.999239596388488}",25,0,-137.51636195026623,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
41,False,"{'a': 0.001, 'e': 0.9992001066609779}",25,0,-230.36562311447258,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
42,False,"{'a': 0.001, 'e': 0.9991596177334445}",20,0,-90.47968515929813,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
43,False,"{'a': 0.001, 'e': 0.9991181296463766}",20,0,-62.80275539253428,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.001, 'e': 0.9990756424412622}",25,0,-147.83898455960838,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
45,False,"{'a': 0.001, 'e': 0.9990321561605888}",20,11,-31.149083024931173,"{0: 4, 1: 2, 2: 3, 3: 0, 4: 0}",1
46,False,"{'a': 0.001, 'e': 0.9989876708478425}",25,10,-139.02193394204534,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 3}",1
47,False,"{'a': 0.001, 'e': 0.9989421865475084}",25,0,-131.79750124428102,"{0: 11, 1: 5, 2: 8, 3: 0, 4: 1}",0
48,False,"{'a': 0.001, 'e': 0.9988957033050712}",30,0,-105.28368291342638,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
49,False,"{'a': 0.001, 'e': 0.9988482211670138}",20,0,-104.4496889280838,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
50,False,"{'a': 0.001, 'e': 0.9987997401808185}",25,0,-68.96689875509824,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
51,False,"{'a': 0.001, 'e': 0.9987502603949663}",20,0,-62.96410157987725,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
52,False,"{'a': 0.001, 'e': 0.9986997818589368}",30,0,-108.84546468081841,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
53,False,"{'a': 0.001, 'e': 0.9986483046232089}",25,0,-191.4410085114085,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
54,False,"{'a': 0.001, 'e': 0.9985958287392593}",25,8,5.568529700219544,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.001, 'e': 0.9985423542595644}",25,0,-156.92492524074925,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
56,False,"{'a': 0.001, 'e': 0.9984878812375985}",20,0,-50.482646993783746,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
57,False,"{'a': 0.001, 'e': 0.9984324097278344}",30,0,-195.64286600904006,"{0: 17, 1: 5, 2: 3, 3: 2, 4: 3}",0
58,False,"{'a': 0.001, 'e': 0.9983759397857438}",25,3,-87.91738584546593,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 1}",1
59,False,"{'a': 0.001, 'e': 0.9983184714677966}",25,0,-131.21389574782785,"{0: 14, 1: 4, 2: 3, 3: 3, 4: 1}",0
60,False,"{'a': 0.001, 'e': 0.9982600048314613}",35,0,-270.07504230380295,"{0: 14, 1: 9, 2: 8, 3: 0, 4: 4}",0
61,False,"{'a': 0.001, 'e': 0.9982005399352042}",20,6,-104.64308824247598,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 2}",1
62,False,"{'a': 0.001, 'e': 0.9981400768384904}",20,0,-17.68827425805017,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.001, 'e': 0.9980786156017829}",20,0,-169.83002463428537,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
64,False,"{'a': 0.001, 'e': 0.9980161562865429}",20,0,-25.979682022782722,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.001, 'e': 0.99795269895523}",30,0,-75.12424729621881,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",1
66,False,"{'a': 0.001, 'e': 0.9978882436713011}",20,1,-97.55764431922279,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 0}",1
