trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.36119480745714,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.52192096022392,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.2006480295128,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.39799729268535,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-95.56255721931609,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.67174283261963,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.07121609757645,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.93892455668916,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.63794807488575,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-45.31396952952206,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.24602331713247,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.40321993905042,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.6529688097507,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.69604328260108,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-251.37675718900823,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 5}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.69994747141754,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.6798632857192,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-82.27979529448359,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,2,-49.53370363348838,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.87796597793199,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,14,-8.299403438311565,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-35.125368668919315,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.38688733691194,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-148.99608359902047,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-325.1812330727129,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 6}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-160.37149141313975,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-154.9072676505347,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-117.85535374056063,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.7570203034638,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-146.3164707890367,"{0: 5, 1: 4, 2: 9, 3: 2, 4: 0}",0
